dmu_id,variety,area_ha,productivity,year,month,day,operation_category,operation,equipment,product,dose_kg_ha,dose_unit,dose_kg/t,dose_unit.1,repetitions,covered_area
C1_2024,Leonardo,14.21,2.0,"2,024.00",5.0,25.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,190.0,kg/ha,95.0,kg/t,1.0,14.21
C1_2024,Ronaldo,8.42,1.46,"2,024.00",5.0,25.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,190.0,kg/ha,130.14,kg/t,1.0,8.42
C1_2024,Diva PV,11.84,9.0,"2,024.00",5.0,25.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,190.0,kg/ha,21.11,kg/t,1.0,11.84
C1_2024,Formula PV,4.73,9.0,"2,024.00",5.0,25.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,220.0,kg/ha,24.44,kg/t,1.0,4.73
C2_2022,Ronaldo,34.06,5.46,"2,022.00",5.0,20.0,sowing,broadcast sowing,airplane_sprayer,Seeds,200.0,kg/ha,36.63,kg/t,1.0,34.06
C2_2022,Gládio,75.37,7.7,"2,022.00",5.0,20.0,sowing,broadcast sowing,airplane_sprayer,Seeds,200.0,kg/ha,25.97,kg/t,1.0,75.37
C2_2022,Selénio,1.95,5.93,"2,022.00",5.0,20.0,sowing,broadcast sowing,airplane_sprayer,Seeds,250.0,kg/ha,42.16,kg/t,1.0,1.95
C2_2023,Selénio,2.22,6.08,"2,023.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,180.0,kg/ha,29.61,kg/t,1.0,2.22
C2_2023,Ronaldo,45.5,13.83,"2,023.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,180.0,kg/ha,13.02,kg/t,1.0,45.5
C2_2023,Leonardo,67.49,5.34,"2,023.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,180.0,kg/ha,33.71,kg/t,1.0,67.49
C2_2024,Formula PV,7.5,7.39,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,160.0,kg/ha,21.65,kg/t,1.0,7.5
C2_2024,Ibérico,15.62,7.39,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,160.0,kg/ha,21.65,kg/t,1.0,15.62
C2_2024,Leonardo,4.4,7.39,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,160.0,kg/ha,21.65,kg/t,1.0,4.4
C2_2024,Ronaldo,90.7,7.39,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,160.0,kg/ha,21.65,kg/t,1.0,90.7
C2_2024,Selénio,2.5,7.39,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,160.0,kg/ha,21.65,kg/t,1.0,2.5
C3_2022,Sprint,26.31,4.99,"2,022.00",5.0,28.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,190.0,kg/ha,38.08,kg/t,1.0,26.31
C3_2022,Telemaco,36.57,2.36,"2,022.00",5.0,28.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,190.0,kg/ha,80.51,kg/t,1.0,36.57
C3_2022,Selénio,27.89,6.36,"2,022.00",5.0,28.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,190.0,kg/ha,29.87,kg/t,1.0,27.89
C3_2022,JSendra,23.77,4.26,"2,022.00",5.0,28.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,190.0,kg/ha,44.6,kg/t,1.0,23.77
C3_2023,Leonardo,34.38,9.61,"2,023.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,160.0,kg/ha,16.65,kg/t,1.0,34.38
C3_2023,Telemaco,38.89,3.88,"2,023.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,180.0,kg/ha,46.39,kg/t,1.0,38.89
C3_2023,Selénio,38.96,4.07,"2,023.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,150.0,kg/ha,36.86,kg/t,1.0,38.96
C3_2024,Selénio,20.0,3.81,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,190.0,kg/ha,49.87,kg/t,1.0,20.0
C3_2024,Sintra,39.21,4.54,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,190.0,kg/ha,41.85,kg/t,1.0,39.21
C3_2024,Ronaldo,5.52,7.9,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,220.0,kg/ha,27.85,kg/t,1.0,5.52
C3_2024,Diva PV,23.7,8.96,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,190.0,kg/ha,21.21,kg/t,1.0,23.7
C3_2024,JSendra,23.8,8.96,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,190.0,kg/ha,21.21,kg/t,,23.8
C4_2022,Ronaldo,25.21,3.62,"2,022.00",5.0,30.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,220.0,kg/ha,60.77,kg/t,1.0,25.21
C4_2023,PVL136IT,5.76,9.57,"2,023.00",5.0,29.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,200.0,kg/ha,20.9,kg/t,1.0,5.76
C4_2023,Luna CL,18.08,2.89,"2,023.00",6.0,1.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,200.0,kg/ha,69.2,kg/t,1.0,18.08
C4_2024,Formula PV,8.57,7.67,"2,024.00",5.0,3.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,170.0,kg/ha,22.16,kg/t,1.0,8.57
C4_2024,Diva PV,15.3,8.61,"2,024.00",5.0,3.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,170.0,kg/ha,19.74,kg/t,1.0,15.3
C5_2022,Ronaldo,25.75,5.66,"2,022.00",5.0,15.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,165.0,kg/ha,29.15,kg/t,1.0,25.75
C5_2022,PVL136IT,10.0,6.83,"2,022.00",5.0,27.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,145.0,kg/ha,21.23,kg/t,1.0,10.0
C5_2023,Luna CL,21.44,6.69,"2,023.00",5.0,25.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,205.0,kg/ha,30.64,kg/t,1.0,21.44
C5_2023,PVL136IT,14.0,5.29,"2,023.00",5.0,25.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,120.0,kg/ha,22.68,kg/t,1.0,14.0
C5_2024,Ronaldo,15.25,10.78,"2,024.00",5.0,18.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,200.0,kg/ha,18.55,kg/t,1.0,15.25
C5_2024,Diva PV,20.19,6.25,"2,024.00",5.0,18.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,120.0,kg/ha,19.2,kg/t,1.0,20.19
C6_2022,Ronaldo,73.11,2.15,"2,022.00",6.0,10.0,sowing,broadcast sowing,airplane_sprayer,Seeds,200.0,kg/ha,93.02,kg/t,1.0,73.11
C6_2023,Ronaldo,71.09,2.88,"2,023.00",5.0,20.0,sowing,broadcast sowing,airplane_sprayer,Seeds,200.0,kg/ha,69.44,kg/t,1.0,71.09
C6_2024,Diva PV,54.22,7.25,"2,024.00",6.0,6.0,sowing,broadcast sowing,airplane_sprayer,Seeds,180.0,kg/ha,24.83,kg/t,1.0,54.22
C7_2023,Elettra,6.09,4.96,"2,023.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,160.0,kg/ha,32.26,kg/t,1.0,6.09
C7_2023,Ronaldo,31.24,6.98,"2,023.00",7.0,5.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,160.0,kg/ha,22.92,kg/t,1.0,31.24
C7_2024,Ronaldo,22.45,4.42,"2,024.00",6.0,24.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,170.0,kg/ha,38.46,kg/t,1.0,22.45
C7_2024,Caravela,14.9,3.93,"2,024.00",6.0,24.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,170.0,kg/ha,43.26,kg/t,1.0,14.9
C8_2022,PVL136IT,12.5,4.15,"2,022.00",5.0,27.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,140.0,kg/ha,33.73,kg/t,1.0,12.5
C8_2022,Ronaldo,32.5,5.78,"2,022.00",5.0,27.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,200.0,kg/ha,34.6,kg/t,1.0,32.5
C8_2022,Gládio,12.5,6.45,"2,022.00",5.0,27.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,240.0,kg/ha,37.21,kg/t,1.0,12.5
C8_2022,Elettra,0.82,4.34,"2,022.00",5.0,27.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,200.0,kg/ha,46.08,kg/t,1.0,0.82
C8_2023,PVL136IT,37.8,3.17,"2,023.00",5.0,25.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,130.0,kg/ha,41.01,kg/t,1.0,37.8
C8_2023,Leonardo,14.34,14.11,"2,023.00",5.0,25.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,130.0,kg/ha,9.21,kg/t,1.0,14.34
C8_2023,Selénio,5.9,2.07,"2,023.00",5.0,25.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,130.0,kg/ha,62.8,kg/t,1.0,5.9
C8_2024,Selénio,4.0,1.52,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,160.0,kg/ha,105.26,kg/t,1.0,4.0
C8_2024,PVL136IT,12.5,5.06,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,160.0,kg/ha,31.62,kg/t,1.0,12.5
C8_2024,Ronaldo,17.2,3.98,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,160.0,kg/ha,40.2,kg/t,1.0,17.2
C8_2024,Leonardo,25.42,3.77,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,160.0,kg/ha,42.44,kg/t,1.0,25.42
D1_2022,Leonardo,12.25,1.36,"2,022.00",4.0,24.0,sowing,row sowing,seeder,Seeds,120.0,kg/ha,88.24,kg/t,1.0,12.25
D1_2023,Carnaroli,17.99,4.9,"2,023.00",5.0,15.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,220.0,kg/ha,44.9,kg/t,1.0,17.99
D1_2024,Ronaldo,13.0,6.42,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,160.0,kg/ha,24.92,kg/t,1.0,13.0
D1_2024,Carnaroli,10.0,4.39,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,160.0,kg/ha,36.45,kg/t,1.0,10.0
D1_2024,PVL136IT,1.8,5.56,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,160.0,kg/ha,28.78,kg/t,1.0,1.8
D2_2022,Luna CL,18.21,1.23,"2,022.00",5.0,20.0,sowing,row sowing,seeder,Seeds,200.0,kg/ha,162.6,kg/t,1.0,18.21
D2_2023,Luna CL,18.22,4.84,"2,023.00",5.0,10.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,220.0,kg/ha,45.45,kg/t,1.0,18.22
D2_2024,PVL136IT,18.22,6.77,"2,024.00",6.0,6.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,190.0,kg/ha,28.06,kg/t,1.0,18.22
NT1_2024,Ronaldo,37.9,7.11,"2,024.00",5.0,26.0,sowing,row sowing,seeder,Seeds,230.0,kg/ha,32.35,kg/t,1.0,37.9
NT2_2022,Luna CL,20.42,4.07,"2,022.00",4.0,29.0,sowing,row sowing,seeder,Seeds,135.0,kg/ha,33.17,kg/t,1.0,20.42
NT2_2023,PVL136IT,20.19,7.31,"2,023.00",5.0,1.0,sowing,row sowing,seeder,Seeds,150.0,kg/ha,20.53,kg/t,1.0,20.19
NT2_2024,PVL136IT,20.19,4.77,"2,024.00",5.0,10.0,sowing,row sowing,seeder,Seeds,150.0,kg/ha,31.47,kg/t,1.0,20.19
NT1_2023,Velox,14.92,6.49,"2,023.00",6.0,6.0,sowing,row sowing,seeder,Seeds,200.0,kg/ha,30.82,kg/t,1.0,14.92
